category,datetime,headline,id,image,related,source,summary,url,ticker,readable_datetime
company,1730394112,"Meta, Microsoft stocks tumble as Big Tech's AI splurge prompts investor caution",130911245,https://s.yimg.com/ny/api/res/1.2/Al2r5QAiF9.5CJhu0GG2sw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2024-06/5b9f3b50-2725-11ef-bbd7-e375d892240c,AMZN,Yahoo,Meta and Microsoft stocks tumbled Thursday as investors weighed their hefty AI expenditures against the time it will take to generate a return on their investment.,https://finnhub.io/api/news?id=0e99277e4ea3d5c0adcfde75f2133540c5106ccdb9362d09d86c2504bc9e03af,AMZN,2024-10-31 17:01:52
company,1730394102,Advertising revenue Amazon to 14.3 billion (+19%),130916820,,AMZN,Finnhub,"Copyright © Emerce 2023Even though Amazon is an online store, it is not retail assets that are growing the fastest. On the contrary. E-commerce is growing only 7 percent. Advertising and AWS, on...",https://finnhub.io/api/news?id=16705612923d2385ac26d50242255e79d22319864c484af6f08d12aca9dc618c,AMZN,2024-10-31 17:01:42
company,1730392696,Amazon Q3 earnings: Here’s what you need to know,130915669,,AMZN,Finnhub,Amazon announced financial results for Q3 2024. Check out highlights from the quarter. Amazon announced financial results for Q3 2024. You can read the press releaseon our investor relations site....,https://finnhub.io/api/news?id=9939e0eb7a25a63e50d32dcca40d2b3c263d8afaa9ae84131387d46b868810e9,AMZN,2024-10-31 16:38:16
company,1730392693,AMAZON COM : ANNOUNCES THIRD QUARTER RESULTS Form 8 K,130915695,,AMZN,Finnhub,"AMAZON.COM ANNOUNCES THIRD QUARTER RESULTS SEATTLE- October 31, 2024-Amazon.com, Inc. today announced financial results for its third quarter ended September 30,...",https://finnhub.io/api/news?id=70b54e49ecf92daa0cca5cef7c584c4569f9212d11d0d7772ee58b90a89e09d1,AMZN,2024-10-31 16:38:13
company,1730392354,Elon Musk Slams Zoox Co-Founder Over FSD Criticism: Your Company 'Would Be Dead Already' If Not For Amazon,130911249,https://media.zenfs.com/en/benzinga_79/5382a645f8ed7e7c432ed306c5823a16,AMZN,Yahoo,"Zoox co-founder Jesse Levinson on Wednesday dismissed the possibility of Tesla Inc (NASDAQ:TSLA) deploying autonomous vehicles without safety drivers in California next year, alleging that the EV giant lacks a technology that works. What Happened: ...",https://finnhub.io/api/news?id=6eb669197a8340da083e8882ec04a2002ac0b5619532d5019373ef6c23076b75,AMZN,2024-10-31 16:32:34
company,1730391018,Amazon: Q3 Earnings Snapshot,130914108,,AMZN,Finnhub,SEATTLE — SEATTLE — Amazon.com Inc. on Thursday reported third-quarter earnings of $15.33 billion. The Seattle-based company said it had profit of $1.43 per share. The results topped Wall...,https://finnhub.io/api/news?id=dd9ba4d002f63648415bd68760badb933f4d796b9a808bc48914990f71f0c1be,AMZN,2024-10-31 16:10:18
company,1730391000,"The Zacks Analyst Blog Highlights Amazon.com, Johnson & Johnson, Boston Scientific and Armanino Foods of Distinction",130909489,https://media.zenfs.com/en/zacks.com/eb2692f6e705136206a7f19a5f31ddcd,AMZN,Yahoo,"mazon.com, Johnson & Johnson, Boston Scientific and Armanino Foods of Distinction are part of the Zacks top Analyst Blog.",https://finnhub.io/api/news?id=25136f82110f1d290c1a81447d0784eb172c4677ca6073f67d595923eafe03a0,AMZN,2024-10-31 16:10:00
company,1730390684,Amazon.com beats estimates for quarterly revenue,130913860,,AMZN,Finnhub,"Amazon.com beat market estimates for quarterly revenue on Thursday, boosted by strong growth in its cloud services unit thanks to growing enterprise spend on AI. The company reported...",https://finnhub.io/api/news?id=1f14b453a5bc3ed957f18d0757f127ac4e4cdc967ff98c2defa43866a365a738,AMZN,2024-10-31 16:04:44
company,1730390584,Amazon.com Announces Third Quarter Results,130913692,,AMZN,Finnhub,"Amazon.com, Inc. today announced financial results for its third quarter ended September 30, 2024.Net sales increased 11% to $158.9 billion in the third quarter, compared with $143.1 billion in...",https://finnhub.io/api/news?id=38221efa58d6e2578d65cd4ab9787442bbe4e77c363457eb2c3c14b214446490,AMZN,2024-10-31 16:03:04
company,1730390461,Heard on the Street: Etsy’s Crafty Niche Has Its Limits,130911253,,AMZN,Yahoo,"Etsy has been trying to find new ways to draw more sales on its platform, but creativity might have its limits.  The company, which also owns second-hand clothing marketplace Depop and musical instrument marketplace Reverb, said the volume of sales through its marketplaces declined 4.1% last quarter on the year, more than analysts had anticipated.  For the year, Etsy expects total gross merchandise sales to decline by a low-single digit percentage, which would mark a third year of declines.",https://finnhub.io/api/news?id=817aad8236146224be10704e522e82237996d8d727ba4c34df7a69447ef8862d,AMZN,2024-10-31 16:01:01
company,1730390363,Amazon Earnings Are Imminent; Here Are The Recent Forecast Changes From Wall Street's Most Accurate Analysts,130911257,https://media.zenfs.com/en/benzinga_79/89f06e526b20b155ea1fcd576858adb4,AMZN,Yahoo,"Amazon.com, Inc. (NASDAQ:AMZN) will release earnings results for its third quarter, after the closing bell on Thursday, Oct. 31. Analysts expect the Seattle, Washington-based company to report quarterly earnings at $1.14 per share, up from 86 cents ...",https://finnhub.io/api/news?id=89378d4c7923c9286f8ecfdecd910de4016233c71cd65596203ad1f94d32f9d2,AMZN,2024-10-31 15:59:23
company,1730389896,Intel to report Q3 earnings as Wall Street looks for signs of improvements at chipmaker,130904529,https://s.yimg.com/ny/api/res/1.2/wu68ZdXbbCLF2vtOnGi_yg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03OTk-/https://s.yimg.com/os/creatr-uploaded-images/2024-10/5c6655b0-9790-11ef-8eac-b1d77bd6c8c1,AMZN,Yahoo,Intel will report its Q3 earnings after the bell Thursday.,https://finnhub.io/api/news?id=00a668439c68769361d5e281ff28950e253dafb5544043608ae35ee59a5daa62,AMZN,2024-10-31 15:51:36
company,1730388612,"Amazon.com Inc (AMZN) Launches Rufus, AI-Powered Conversational Shopping Assistant, in Beta Across Europe Following Successful UK Debut",130911261,https://s.yimg.com/ny/api/res/1.2/v4vjuMw83AspvSftOzdXyQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/226ed9ed0936942adb97f3d56073e411,AMZN,Yahoo,"We recently compiled a list of the 15 AI News You Should Not Miss. In this article, we are going to take a look at where Amazon.com Inc (NASDAQ:AMZN) stands against the other AI stocks. According to a new report by Bloomberg Intelligence (BI), the generative AI market is set for rapid growth, projected to reach […]",https://finnhub.io/api/news?id=af69bda417f111c5cc521b6ada8bb5e159fb5b35372f6204b6e9b5ff4dde116b,AMZN,2024-10-31 15:30:12
company,1730386827,Amazon Q3 earnings preview: AWS performance in focus as Big Tech goes all in on AI,130911264,https://s.yimg.com/ny/api/res/1.2/2q6E37_RooJzbSEyNTBVtw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03NTE-/https://s.yimg.com/os/creatr-uploaded-images/2024-10/d913b8c0-96da-11ef-bfff-b08d46196f7d,AMZN,Yahoo,Amazon is set to release third quarter results after the bell on Thursday.,https://finnhub.io/api/news?id=55332d63e98db4ecfde2511688ff1ab660c7cf1619ce02d5e6fd51dab4078fc9,AMZN,2024-10-31 15:00:27
company,1730386165,"Amazon.com, Inc. (AMZN): Among The 10 Best S&P 500 Stocks to Buy According to Hedge Funds",130910778,https://s.yimg.com/ny/api/res/1.2/EmaYIvfplOc6RrI5xuz8CA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/9c7701c6b451819d3e054b1d9813ab5d,AMZN,Yahoo,"We recently compiled a list of the 10 Best S&P 500 Stocks to Buy According to Hedge Funds. In this article, we are going to take a look at where Amazon.com, Inc. (NASDAQ:AMZN) stands against other S&P 500 stocks. As per AXA Investment Managers, the US dominated financial markets this year. The investment firm believes that […]",https://finnhub.io/api/news?id=fb9965eff6fa823fb14123c16c17f4c001ba4f25c77945603f1292fd8c822422,AMZN,2024-10-31 14:49:25
company,1730383800,"Apple, Amazon Earnings Preview: AI Capital Spending And iPhone Sales In Focus",130908054,https://media.gettyimages.com/id/2153735699/photo/young-asian-woman-using-smart-phone-while-enjoying-meal-in-a-local-restaurant-during-vacation.jpg?b=1&s=612x612&w=0&k=20&c=BERdhTdyk2yEXAWlPED082uCcn89RtrtWMFKUdSWxjY=,AMZN,SeekingAlpha,Revenue and profit beat by the majority of Mag 7 thus far has been the earnings season highlight. Capital expenditure on AI is proven to be a sticky point. AAPL and AMZN may be no different.,https://finnhub.io/api/news?id=5e3735dd9a840584581b14baf9bfe4425a7402c4e1e416d796a026e45efe68d7,AMZN,2024-10-31 14:10:00
company,1730383214,Here's Why We Think Amazon.com (NASDAQ:AMZN) Might Deserve Your Attention Today,130899431,https://media.zenfs.com/en/simply_wall_st__316/879a86978b61b61254f6f30494ce0d20,AMZN,Yahoo,"Investors are often guided by the idea of discovering 'the next big thing', even if that means buying 'story stocks...",https://finnhub.io/api/news?id=5329cc0447a273e7582f42902c5d42430a7f95366f16e0869624ad08f6c1fcd6,AMZN,2024-10-31 14:00:14
company,1730382796,The Dow falls 250 points and the Nasdaq sinks 340 as Microsoft and Meta lead a tech stock selloff,130899435,https://media.zenfs.com/en/quartz.com/25e05d63aff92706136c9643c53bf66f,AMZN,Yahoo,"The Dow Jones Industrial Average fell more than 250 points Thursday morning, alongside sharp Nasdaq and S&P 500 declines, following weaker-than-expected earnings reports from Microsoft (MSFT) and Meta (META). Super Micro Computer (SMCI) stock continued to fall following the resignation of Ernst & Young, the company’s auditor.",https://finnhub.io/api/news?id=0e9342e7de89042d34e6eee393e6d109087d684ed0afdca88422efbf37cbb950,AMZN,2024-10-31 13:53:16
company,1730382312,Here's Why Amazon (AMZN) is a Strong Growth Stock,130911274,https://media.zenfs.com/en/zacks.com/21b1f011539d3e31c28282071d344177,AMZN,Yahoo,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores.",https://finnhub.io/api/news?id=c4758625780275f9f45c30eb0f76b1c01d64cdf33139f67a7de27293000d0991,AMZN,2024-10-31 13:45:12
company,1730367081,"Apple, Amazon Take Spotlight in Mixed Week for Big Tech Earnings",130891882,https://media.zenfs.com/en/bloomberg_markets_842/6effc7407bcc4bf8b4a03afabc015dbd,AMZN,Yahoo,"(Bloomberg) -- Whether this Big Tech earnings season turns out to be a success or disappointment will likely come down to results from Apple Inc. and Amazon.com Inc. later Thursday.Most Read from BloombergChicago Mayor Seeks Property Tax Hike, Breaking Campaign VowIs Denver’s Big Bet on E-Bikes Paying Off?NY Transit Agency Takes Next Step on Brooklyn-Queens Rail LinkThere Will Soon Be No Meatpackers Left in NYC’s Historic Meatpacking DistrictA South Korean City Plays Matchmaker to Tackle a Ferti",https://finnhub.io/api/news?id=b10b29d7a2121a10d96b1e63b7fed4ae1740c882a4a376929b0084217155e0f2,AMZN,2024-10-31 09:31:21
company,1730325209,"Roku stock tumbles after Q4 guidance disappoints, company says it will stop reporting key user figure",130870757,https://s.yimg.com/ny/api/res/1.2/IO9hVAHWRb.T4mNl54U50w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDM-/https://s.yimg.com/os/creatr-uploaded-images/2021-11/8ebdc580-3ced-11ec-af36-d2878ad1ba75,AMZN,Yahoo,Roku shares are falling after the company reported disappointing guidance for the current quarter and said it will stop reporting certain subscriber figures starting next year.,https://finnhub.io/api/news?id=4f83c233bbefe06be7f7df06afac29bb6d7643a244a6f44af9f80babcf2aa458,AMZN,2024-10-30 21:53:29
